Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
U680,10004348,28217382,1838742707,0.5846500274600672,0.4153499725399328
NUM_REG_4_,10004349,28217383,1904912563,0.5,0.5
U679,10004348,18927337,2167613254,0.5850526524178957,0.4149473475821043
NUM_REG_3_,10004349,18927338,2214855772,0.5,0.5
U678,10004348,5031399,1325922277,0.5856720754299396,0.4143279245700604
NUM_REG_2_,10004349,5031400,1367535629,0.5,0.5
U677,10004348,13679031,1511330097,0.5861676138395746,0.4138323861604254
NUM_REG_1_,10004349,13679032,1537216440,0.5,0.5
U676,9169480,7358605,1553800503,0.5841854602010343,0.41581453979896565
NUM_REG_0_,9169481,7358606,1564347313,0.5,0.5
U675,13277703,36229007,2185338953,0.5864825248718262,0.41351747512817383
MAR_REG_4_,13277704,36229008,2580858045,0.5,0.5
U674,15174517,57132889,2144941549,0.5913982391357422,0.4086017608642578
MAR_REG_3_,15174518,57132890,1804443187,0.5,0.5
U673,15174517,65432449,2231437330,0.5989608764648438,0.40103912353515625
MAR_REG_2_,15174518,65432450,2528703299,0.5,0.5
U672,15174517,53110815,2049729576,0.605010986328125,0.394989013671875
MAR_REG_1_,15174518,53110816,2381880071,0.5,0.5
U671,15174517,26555407,2150099908,0.580810546875,0.419189453125
MAR_REG_0_,15174518,26555408,2567580341,0.5,0.5
U727,12769659,12658276,2247610706,0.6849570799386129,0.3150429200613871
TEMP_REG_8_,12769660,12658277,2258483550,0.5,0.5
U728,2271009,9514705,2308027135,0.6050837849733979,0.3949162150266021
TEMP_REG_7_,2271010,9514706,2315676265,0.5,0.5
U729,6781811,9553400,2605335493,0.6034199559498299,0.3965800440501701
TEMP_REG_6_,6781812,9553401,2613059873,0.5,0.5
U730,11714657,9753937,2776363108,0.5603853085643399,0.4396146914356601
TEMP_REG_5_,11714658,9753938,2786180950,0.5,0.5
U731,17071333,14498425,3115345507,0.6422180277355066,0.3577819722644934
TEMP_REG_4_,17071334,14498426,3130520025,0.5,0.5
U732,12271203,10292572,2857460561,0.6338674643687721,0.36613253563122794
TEMP_REG_3_,12271204,10292573,2867834949,0.5,0.5
U733,2078305,9507081,2619618106,0.6183944171619415,0.38160558283805845
TEMP_REG_2_,2078306,9507082,2627255652,0.5,0.5
U734,6477703,9602589,2643604256,0.6103491403506497,0.3896508596493503
TEMP_REG_1_,6477704,9602590,2651422418,0.5,0.5
U735,10004052,9775150,2506768153,0.6262458499736171,0.3737541500263829
TEMP_REG_0_,10004053,9775151,2514875390,0.5,0.5
U736,5056605,6310494,1248631923,0.6309531313193382,0.36904686868066183
MAX_REG_8_,5056606,6310495,1716361125,0.5,0.5
U737,3043940,3166923,1649808803,0.5821979268101222,0.41780207318987783
MAX_REG_7_,3043941,3166924,1651790987,0.5,0.5
U738,3273413,3205618,1525910724,0.5811823142158532,0.4188176857841468
MAX_REG_6_,3273414,3205619,1527968158,0.5,0.5
U739,5056605,3406155,1855232436,0.5549136716717423,0.4450863283282577
MAX_REG_5_,5056606,3406156,1859073062,0.5,0.5
U740,5056605,8150643,1628363921,0.6048649220924622,0.39513507790753777
MAX_REG_4_,5056606,8150644,1738211224,0.5,0.5
U741,5056605,3944790,1746069293,0.5997676812075129,0.4002323187924871
MAX_REG_3_,5056606,3944791,1738211224,0.5,0.5
U742,2347715,3159299,1727094437,0.590322827564273,0.409677172435727
MAX_REG_2_,2347716,3159300,1740920114,0.5,0.5
U743,3367195,3254807,1705704984,0.5854119356768329,0.4145880643231671
MAX_REG_1_,3367196,3254808,1728701700,0.5,0.5
U744,3656270,3427368,1747994977,0.5951153957510534,0.40488460424894657
MAX_REG_0_,3656271,3427369,1728412625,0.5,0.5
U670,20864954,9484073,614901500,0.5180158615112305,0.48198413848876953
EN_DISP_REG,20864955,9484074,618695122,0.5,0.5
U669,81,9484073,419654705,0.4921875,0.5078125
RES_DISP_REG,82,9484074,421551519,0.5,0.5
U668,1129045,12025110,1878759316,0.5424908999747395,0.45750910002526046
FLAG_REG,1129046,12025111,1974060595,0.5,0.5
U645,5690442,1896813,1327999799,0.21639633178710938,0.7836036682128906
STATO_REG_0_,5690443,1896814,765020689,0.5,0.5
U644,7587258,9484073,1317535410,0.33837890625,0.66162109375
STATO_REG_1_,7587259,9484074,643353713,0.5,0.5
U643,5690443,11380888,2730997606,0.744140625,0.255859375
STATO_REG_2_,5690444,11380889,647147343,0.5,0.5
U634,14526401,18939590,1632187000,0.5521959018485414,0.4478040981514586
U636,14526401,18939590,1632187000,0.5529022631689832,0.44709773683101683
U635,14526401,18939590,1632187000,0.5745342067095988,0.42546579329040124
GT_138_U7,15620228,76615147,1631093173,0.9738339527913942,0.02616604720860588
GT_138_U8,18939590,59199431,1587513970,0.8291785712962908,0.1708214287037092
U755,15620228,17685701,1690022619,0.5700599648664896,0.4299400351335104
U753,19583007,18471192,1689237128,0.5953895309258227,0.4046104690741773
U751,19583007,22677045,1685031275,0.6020158260473382,0.39798417395266183
U757,16847604,17781209,1689927111,0.6220561221242308,0.3779438778757692
U633,14526401,18939590,1591927159,0.574567446011145,0.42543255398885504
GT_138_U6,18939590,33465991,1572987569,0.5235809860031202,0.4764190139968798
SUB_103_U8,19484395,3159300,1258443679,0.03125,0.96875
U587,5056606,9469795,1687308323,0.515625,0.484375
GT_197_U6,17112790,23958738,467420846,0.3125,0.6875
SUB_199_U14,23958738,20008698,471370886,0.6875,0.3125
U588,17112790,43369670,447412148,0.78515625,0.21484375
U705,9484074,20864955,239332822,0.5,0.5
U589,82,30349029,229848748,0.75,0.25
U707,14526401,9469795,30349029,0.30167801197278554,0.6983219880272145
U590,78,39818824,0,0.8254195029931963,0.17458049700680361
U706,23958738,17112790,30349029,0.6875,0.3125
U591,71,44911255,0,0.921875,0.078125
SUB_60_U6,641959,307729,2003889073,0.577170640933595,0.42282935906640495
U592,212546,1377329,1572139465,0.9471463301166994,0.05285366988330062
U880,33465991,37879180,1439393430,0.6495142183064817,0.3504857816935183
U878,33465991,56818770,1420453840,0.7225731191966783,0.2774268808033217
