Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
U3253,160,81,10156,0.533203125,0.466796875
IR_REG_0_,161,82,56043,0.5,0.5
U3252,147,81,47286,0.548583984375,0.451416015625
IR_REG_1_,148,82,56119,0.5,0.5
U3251,146,84,10674,0.52166748046875,0.47833251953125
IR_REG_2_,147,85,56249,0.5,0.5
U3250,138,77,12496,0.5264739990234375,0.4735260009765625
IR_REG_3_,139,78,31129,0.5,0.5
U3249,143,77,10344,0.5295982360839844,0.4704017639160156
IR_REG_4_,144,78,31085,0.5,0.5
U3248,149,81,13672,0.5313405990600586,0.4686594009399414
IR_REG_5_,150,82,31079,0.5,0.5
U3247,139,80,16092,0.5322568416595459,0.4677431583404541
IR_REG_6_,140,81,31089,0.5,0.5
U3246,144,78,15752,0.5327262282371521,0.4672737717628479
IR_REG_7_,145,79,56235,0.5,0.5
U3245,142,81,39578,0.5329637378454208,0.46703626215457916
IR_REG_8_,143,82,56237,0.5,0.5
U3244,150,81,55693,0.5330831967294216,0.4669168032705784
IR_REG_9_,151,82,56229,0.5,0.5
U3243,149,86,20696,0.5331431021913886,0.4668568978086114
IR_REG_10_,150,87,56162,0.5,0.5
U3242,146,87,16113,0.5331730989273638,0.46682690107263625
IR_REG_11_,147,88,56165,0.5,0.5
U3241,138,75,17521,0.5331881082965992,0.46681189170340076
IR_REG_12_,139,76,56173,0.5,0.5
U3240,143,80,27898,0.533195615731529,0.46680438426847104
IR_REG_13_,144,81,56168,0.5,0.5
U3239,148,81,13363,0.5331993701365718,0.4668006298634282
IR_REG_14_,149,82,56064,0.5,0.5
U3238,152,84,56889,0.5332012475109877,0.46679875248901226
IR_REG_15_,153,85,56060,0.5,0.5
U3237,152,85,37313,0.5332021862411693,0.46679781375883067
IR_REG_16_,153,86,56060,0.5,0.5
U3236,148,81,30087,0.5332026556170035,0.46679734438299647
IR_REG_17_,149,82,56118,0.5,0.5
U3235,145,86,25303,0.5332028903076065,0.4667971096923935
IR_REG_18_,146,87,56121,0.5,0.5
U3234,150,80,30648,0.5332030076535794,0.4667969923464206
IR_REG_19_,151,81,56116,0.5,0.5
U3233,151,83,47473,0.5332030663267338,0.46679693367326625
IR_REG_20_,152,84,56052,0.5,0.5
U3232,152,83,33845,0.5332030956633529,0.4667969043366471
IR_REG_21_,153,84,56051,0.5,0.5
U3231,164,85,30519,0.533203110331673,0.466796889668327
IR_REG_22_,165,86,56214,0.5,0.5
U3230,149,76,30198,0.5332031176658356,0.4667968823341644
IR_REG_23_,150,77,56229,0.5,0.5
U3229,155,80,36468,0.5332031213329176,0.4667968786670824
IR_REG_24_,156,81,56223,0.5,0.5
U3228,154,79,37432,0.5332031231664588,0.4667968768335412
IR_REG_25_,155,80,56224,0.5,0.5
U3227,150,85,33592,0.5332031240832293,0.46679687591677066
IR_REG_26_,151,86,56245,0.5,0.5
U3226,148,82,42907,0.5332031245416147,0.46679687545838533
IR_REG_27_,149,83,58011,0.5,0.5
U3225,155,83,50483,0.5332031247708073,0.46679687522919266
IR_REG_28_,156,84,88253,0.5,0.5
U3224,152,78,69929,0.5332031248854037,0.46679687511459633
IR_REG_29_,153,79,83058,0.5,0.5
U3223,151,80,79267,0.5332031249427018,0.46679687505729817
IR_REG_30_,152,81,81794,0.5,0.5
U3222,150,81,6832,0.5332031249713509,0.4667968750286491
IR_REG_31_,151,82,88259,0.5,0.5
U3379,525,640,50134,0.5262063415293904,0.4737936584706096
D_REG_0_,526,641,50250,0.5,0.5
U3380,543,668,54015,0.5262063417208693,0.47379365827913067
D_REG_1_,544,669,54131,0.5,0.5
U3221,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_2_,97,1721,60493,0.5,0.5
U3220,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_3_,97,1721,60493,0.5,0.5
U3219,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_4_,97,1721,60493,0.5,0.5
U3218,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_5_,97,1721,60493,0.5,0.5
U3217,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_6_,97,1721,60493,0.5,0.5
U3216,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_7_,97,1721,60493,0.5,0.5
U3215,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_8_,97,1721,60493,0.5,0.5
U3214,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_9_,97,1721,60493,0.5,0.5
U3213,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_10_,97,1721,60493,0.5,0.5
U3212,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_11_,97,1721,60493,0.5,0.5
U3211,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_12_,97,1721,60493,0.5,0.5
U3210,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_13_,97,1721,60493,0.5,0.5
U3209,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_14_,97,1721,60493,0.5,0.5
U3208,96,1720,60435,0.5785604142049888,0.4214395857950112
D_REG_15_,97,1721,60493,0.5,0.5
U3207,96,1720,60435,0.5785604142049888,0.4214395857950112
