Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
U0,2,3,0,0.75,0.25
W0,2,3,5161,0.75,0.25
W1,2,3,5134,0.75,0.25
W2,2,3,5081,0.75,0.25
W3,2,3,4998,0.75,0.25
W4,2,3,4891,0.75,0.25
W5,2,3,4764,0.75,0.25
W6,2,3,4619,0.75,0.25
W7,2,3,4456,0.75,0.25
W8,2,3,4275,0.75,0.25
W9,2,3,4076,0.75,0.25
W10,2,3,3859,0.75,0.25
W11,2,3,3624,0.75,0.25
W12,2,3,3371,0.75,0.25
W13,2,3,3100,0.75,0.25
W14,2,3,2811,0.75,0.25
W15,2,3,5164,0.75,0.25
W16,2,3,5166,0.75,0.25
W17,2,3,5153,0.75,0.25
W18,2,3,5114,0.75,0.25
W19,2,3,5041,0.75,0.25
W20,2,3,4942,0.75,0.25
W21,2,3,4821,0.75,0.25
W22,2,3,4682,0.75,0.25
W23,2,3,4525,0.75,0.25
W24,2,3,4350,0.75,0.25
W25,2,3,4157,0.75,0.25
W26,2,3,3946,0.75,0.25
W27,2,3,3717,0.75,0.25
W28,2,3,3470,0.75,0.25
W29,2,3,3205,0.75,0.25
W30,2,3,2922,0.75,0.25
W31,2,3,5169,0.75,0.25
W32,2,3,5213,0.75,0.25
W33,2,3,5186,0.75,0.25
W34,2,3,5175,0.75,0.25
W35,2,3,5092,0.75,0.25
W36,2,3,5011,0.75,0.25
W37,2,3,4884,0.75,0.25
W38,2,3,4763,0.75,0.25
W39,2,3,4600,0.75,0.25
W40,2,3,4443,0.75,0.25
W41,2,3,4244,0.75,0.25
W42,2,3,4051,0.75,0.25
W43,2,3,3816,0.75,0.25
W44,2,3,3587,0.75,0.25
W45,2,3,3316,0.75,0.25
W46,2,3,2828,0.75,0.25
W47,2,3,5216,0.75,0.25
W48,2,3,5218,0.75,0.25
W49,2,3,5247,0.75,0.25
W50,2,3,5208,0.75,0.25
W51,2,3,5161,0.75,0.25
W52,2,3,5062,0.75,0.25
W53,2,3,4965,0.75,0.25
W54,2,3,4826,0.75,0.25
W55,2,3,4693,0.75,0.25
W56,2,3,4518,0.75,0.25
W57,2,3,4355,0.75,0.25
W58,2,3,4138,0.75,0.25
W59,2,3,3939,0.75,0.25
W60,2,3,3686,0.75,0.25
W61,2,3,3222,0.75,0.25
W62,2,3,2634,0.75,0.25
W63,2,3,5221,0.75,0.25
W64,2,3,5307,0.75,0.25
W65,2,3,5280,0.75,0.25
W66,2,3,5295,0.75,0.25
W67,2,3,5212,0.75,0.25
W68,2,3,5203,0.75,0.25
W69,2,3,5076,0.75,0.25
W70,2,3,4931,0.75,0.25
W71,2,3,4768,0.75,0.25
W72,2,3,4635,0.75,0.25
W73,2,3,4436,0.75,0.25
W74,2,3,4267,0.75,0.25
W75,2,3,4032,0.75,0.25
W76,2,3,3592,0.75,0.25
W77,2,3,3028,0.75,0.25
W78,2,3,2434,0.75,0.25
W79,2,3,5310,0.75,0.25
W80,2,3,5408,0.75,0.25
W81,2,3,5381,0.75,0.25
W82,2,3,5328,0.75,0.25
W83,2,3,5361,0.75,0.25
W84,2,3,5254,0.75,0.25
W85,2,3,5133,0.75,0.25
W86,2,3,4994,0.75,0.25
W87,2,3,4891,0.75,0.25
W88,2,3,4710,0.75,0.25
W89,2,3,4571,0.75,0.25
W90,2,3,4354,0.75,0.25
W91,2,3,3938,0.75,0.25
W92,2,3,3398,0.75,0.25
W93,2,3,2828,0.75,0.25
W94,2,3,2234,0.75,0.25
W95,2,3,5411,0.75,0.25
W96,2,3,5413,0.75,0.25
W97,2,3,5400,0.75,0.25
W98,2,3,5477,0.75,0.25
W99,2,3,5430,0.75,0.25
W100,2,3,5323,0.75,0.25
W101,2,3,5196,0.75,0.25
W102,2,3,5123,0.75,0.25
W103,2,3,4960,0.75,0.25
W104,2,3,4851,0.75,0.25
W105,2,3,4652,0.75,0.25
W106,2,3,4260,0.75,0.25
W107,2,3,3744,0.75,0.25
W108,2,3,3198,0.75,0.25
W109,2,3,2628,0.75,0.25
W110,2,3,2034,0.75,0.25
W111,2,3,5416,0.75,0.25
W112,2,3,5432,0.75,0.25
W113,2,3,5599,0.75,0.25
W114,2,3,5546,0.75,0.25
W115,2,3,5473,0.75,0.25
W116,2,3,5374,0.75,0.25
W117,2,3,5331,0.75,0.25
W118,2,3,5186,0.75,0.25
W119,2,3,5107,0.75,0.25
W120,2,3,4926,0.75,0.25
W121,2,3,4558,0.75,0.25
W122,2,3,4066,0.75,0.25
W123,2,3,3544,0.75,0.25
W124,2,3,2998,0.75,0.25
W125,2,3,2428,0.75,0.25
W126,2,3,1726,0.75,0.25
W127,2,3,5435,0.75,0.25
W128,2,3,5631,0.75,0.25
W129,2,3,5660,0.75,0.25
W130,2,3,5607,0.75,0.25
W131,2,3,5524,0.75,0.25
W132,2,3,5515,0.75,0.25
W133,2,3,5388,0.75,0.25
W134,2,3,5339,0.75,0.25
W135,2,3,5176,0.75,0.25
W136,2,3,4832,0.75,0.25
W137,2,3,4364,0.75,0.25
W138,2,3,3866,0.75,0.25
W139,2,3,3344,0.75,0.25
W140,2,3,2798,0.75,0.25
W141,2,3,2120,0.75,0.25
W142,2,3,1629,0.75,0.25
W143,2,3,5634,0.75,0.25
W144,2,3,5692,0.75,0.25
W145,2,3,5679,0.75,0.25
W146,2,3,5640,0.75,0.25
W147,2,3,5673,0.75,0.25
W148,2,3,5566,0.75,0.25
W149,2,3,5547,0.75,0.25
W150,2,3,5402,0.75,0.25
W151,2,3,5082,0.75,0.25
W152,2,3,4638,0.75,0.25
W153,2,3,4164,0.75,0.25
W154,2,3,3666,0.75,0.25
W155,2,3,3144,0.75,0.25
W156,2,3,2490,0.75,0.25
W157,2,3,2023,0.75,0.25
W158,2,3,1429,0.75,0.25
W159,2,3,5695,0.75,0.25
W160,2,3,5739,0.75,0.25
W161,2,3,5712,0.75,0.25
W162,2,3,5799,0.75,0.25
W163,2,3,5716,0.75,0.25
W164,2,3,5731,0.75,0.25
W165,2,3,5604,0.75,0.25
W166,2,3,5308,0.75,0.25
W167,2,3,4888,0.75,0.25
W168,2,3,4438,0.75,0.25
W169,2,3,3964,0.75,0.25
W170,2,3,3466,0.75,0.25
W171,2,3,2836,0.75,0.25
W172,2,3,2393,0.75,0.25
W173,2,3,1811,0.75,0.25
W174,2,3,1199,0.75,0.25
W175,2,3,5742,0.75,0.25
W176,2,3,5744,0.75,0.25
W177,2,3,5885,0.75,0.25
W178,2,3,5832,0.75,0.25
W179,2,3,5889,0.75,0.25
W180,2,3,5782,0.75,0.25
W181,2,3,5510,0.75,0.25
W182,2,3,5114,0.75,0.25
W183,2,3,4688,0.75,0.25
W184,2,3,4238,0.75,0.25
W185,2,3,3764,0.75,0.25
W186,2,3,3140,0.75,0.25
W187,2,3,2703,0.75,0.25
W188,2,3,2131,0.75,0.25
W189,2,3,1523,0.75,0.25
W190,2,3,935,0.75,0.25
W191,2,3,5747,0.75,0.25
