Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
387,1,1,0,0.5,0.5
388,1,1,0,0.5,0.5
467,2,2,3,0.5,0.5
469,2,3,4,0.75,0.25
478,1,1,0,0.5,0.5
482,1,1,0,0.5,0.5
484,1,1,0,0.5,0.5
486,1,1,0,0.5,0.5
489,1,1,0,0.5,0.5
492,1,1,0,0.5,0.5
494,2,5,851,0.9375,0.0625
501,1,1,0,0.5,0.5
505,1,1,0,0.5,0.5
507,1,1,0,0.5,0.5
509,1,1,0,0.5,0.5
511,1,1,0,0.5,0.5
513,1,1,0,0.5,0.5
515,1,1,0,0.5,0.5
517,1,1,0,0.5,0.5
519,1,1,0,0.5,0.5
528,2,5,851,0.9375,0.0625
535,1,1,0,0.5,0.5
537,1,1,0,0.5,0.5
539,1,1,0,0.5,0.5
541,1,1,0,0.5,0.5
543,1,1,0,0.5,0.5
545,1,1,0,0.5,0.5
547,1,1,0,0.5,0.5
549,1,1,0,0.5,0.5
551,1,1,0,0.5,0.5
553,1,1,0,0.5,0.5
556,1,1,0,0.5,0.5
559,1,1,0,0.5,0.5
561,1,1,0,0.5,0.5
563,1,1,0,0.5,0.5
565,1,1,0,0.5,0.5
567,1,1,0,0.5,0.5
569,1,1,0,0.5,0.5
571,1,1,0,0.5,0.5
573,1,1,0,0.5,0.5
575,2,5,851,0.9375,0.0625
578,2,5,851,0.9375,0.0625
582,2,2,0,0.5,0.5
585,2,2,3,0.5,0.5
590,1,1,2,0.5,0.5
593,2,2,2,0.5,0.5
596,2,2,5,0.5,0.5
599,2,2,270,0.5,0.5
604,2,2,336,0.5,0.5
609,2,2,242,0.5,0.5
614,1,1,256,0.5,0.5
625,1,1,1,0.5,0.5
628,3,2,903,0.25,0.75
632,3,2,353,0.25,0.75
636,1,1,51,0.5,0.5
641,2,2,51,0.5,0.5
642,2,2,922,0.5,0.5
643,1,1,0,0.5,0.5
644,2,2,352,0.5,0.5
651,2,2,410,0.5,0.5
657,1,1,411,0.5,0.5
660,2,2,382,0.5,0.5
666,2,2,276,0.5,0.5
