Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
U25,1,3,1,0.5,0.5
U320,2,4,0,0.5,0.5
W4994,5,1,186,0.5,0.5
W6722,0,0,191,0.5,0.5
W0,0,5,186,0.75,0.25
W4998,6,1,214,0.5,0.5
W6709,0,0,220,0.5,0.5
W1,0,6,214,0.75,0.25
W5002,6,1,215,0.5,0.5
W6742,0,0,221,0.5,0.5
W2,0,6,215,0.75,0.25
W5006,6,1,236,0.5,0.5
W3,0,6,236,0.75,0.25
W5010,7,1,237,0.5,0.5
W4,0,7,237,0.75,0.25
W5014,6,1,242,0.5,0.5
W6741,0,0,248,0.5,0.5
W5,0,6,242,0.75,0.25
W5018,6,1,257,0.5,0.5
W6,0,6,257,0.75,0.25
W5022,6,1,72,0.5,0.5
W7,0,6,72,0.75,0.25
W5026,6,1,64,0.5,0.5
W8,0,6,64,0.75,0.25
W5030,6,1,152,0.5,0.5
W9,0,6,152,0.75,0.25
W5034,6,1,66,0.5,0.5
W10,0,6,66,0.75,0.25
W5038,7,1,62,0.5,0.5
W11,0,7,62,0.75,0.25
W5042,6,1,79,0.5,0.5
W12,0,6,79,0.75,0.25
W5046,6,1,116,0.5,0.5
W13,0,6,116,0.75,0.25
W5050,6,1,43,0.5,0.5
W14,0,6,43,0.75,0.25
W5054,6,1,92,0.5,0.5
W15,0,6,92,0.75,0.25
W5058,7,1,230,0.5,0.5
W16,0,7,230,0.75,0.25
W5062,6,1,104,0.5,0.5
W6740,0,0,110,0.5,0.5
W17,0,6,104,0.75,0.25
W5066,6,1,226,0.5,0.5
W18,0,6,226,0.75,0.25
W5070,6,1,239,0.5,0.5
W19,0,6,239,0.75,0.25
W5074,6,1,264,0.5,0.5
W20,0,6,264,0.75,0.25
W5078,6,1,286,0.5,0.5
W21,0,6,286,0.75,0.25
W5082,6,1,175,0.5,0.5
W22,0,6,175,0.75,0.25
W5086,6,1,308,0.5,0.5
W23,0,6,308,0.75,0.25
W5090,6,1,208,0.5,0.5
W24,0,6,208,0.75,0.25
W5094,6,1,319,0.5,0.5
