Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
TESTLVINLATCHVCDAD,0,0,67,0.71875,0.28125
TESTL,1,1,67,0.5,0.5
FMLVINLATCHVCDAD,0,0,24,0.71875,0.28125
FML,1,1,42,0.5,0.5
TCOMB_YA2,0,12,1,0.96875,0.03125
OLATCH_Y2L,1,11,0,0.5,0.5
Y1C,5,0,1,0.31289562302893614,0.6871043769710639
OLATCHVUC_6,6,1,0,0.5,0.5
R2C,6,0,1,0.32190723111853004,0.67809276888147
OLATCHVUC_5,7,1,0,0.5,0.5
TCOMB_RA1,5,0,1,0.41015625,0.58984375
OLATCH_R1L,6,1,0,0.5,0.5
TCOMB_GA2,5,0,1,0.5693359375,0.4306640625
OLATCH_G2L,5,1,0,0.5,0.5
TCOMB_GA1,0,7,1,0.912841796875,0.087158203125
OLATCH_G1L,1,6,0,0.5,0.5
TCOMB_FE_BF,0,5,23,0.734130859375,0.265869140625
OLATCH_FEL,1,5,24,0.5,0.5
C3_Q3VD,0,5,26,0.775918535888195,0.22408146411180496
C3_Q3,1,5,42,0.5,0.5
C3_Q2VD,0,7,32,0.7765847657319682,0.22341523426803178
C3_Q2,1,7,22,0.5,0.5
C3_Q1VD,0,7,47,0.7701086806046078,0.2298913193953922
C3_Q1,1,7,32,0.5,0.5
C3_Q0VD,0,7,32,0.761153889412526,0.23884611058747396
C3_Q0,1,7,38,0.5,0.5
UC_16VD,0,5,58,0.8132152557373047,0.1867847442626953
UC_16,1,5,60,0.5,0.5
UC_17VD,0,7,50,0.8159820884466171,0.18401791155338287
UC_17,1,7,72,0.5,0.5
UC_18VD,0,7,62,0.8088845610618591,0.19111543893814087
UC_18,1,7,72,0.5,0.5
UC_19VD,0,3,45,0.8112905025482178,0.18870949745178223
UC_19,1,4,75,0.5,0.5
UC_8VD,0,8,55,0.841796875,0.158203125
UC_8,1,9,57,0.5,0.5
UC_9VD,0,8,76,0.84619140625,0.15380859375
UC_9,1,7,66,0.5,0.5
UC_10VD,0,5,68,0.841796875,0.158203125
UC_10,1,6,67,0.5,0.5
UC_11VD,0,2,62,0.859375,0.140625
UC_11,1,3,70,0.5,0.5
TESTLVINLATCHN,1,1,67,0.5,0.5
FMLVINLATCHN,1,1,24,0.5,0.5
OLATCH_Y1L,1,6,0,0.5,0.5
OLATCH_R2L,1,7,0,0.5,0.5
UC_23,5,1,55,0.5,0.5
UC_24,7,1,52,0.5,0.5
UC_25,7,1,52,0.5,0.5
UC_26,7,1,52,0.5,0.5
UC_20,5,1,61,0.5,0.5
C2_QN2,7,1,72,0.5,0.5
UC_21,7,1,72,0.5,0.5
UC_22,4,1,75,0.5,0.5
UC_12,9,1,69,0.5,0.5
UC_13,7,1,66,0.5,0.5
UC_14,6,1,67,0.5,0.5
UC_15,3,1,70,0.5,0.5
FMBVIR1,0,0,25,0.5,0.5
