Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
v13_D_5,0,8,15,0.9916305541992188,0.00836944580078125
v12,1,9,26,0.5,0.5
v13_D_4,0,5,18,0.9792747497558594,0.020725250244140625
v11,1,6,29,0.5,0.5
v13_D_3,0,3,13,0.7919740676879883,0.20802593231201172
v10,1,4,21,0.5,0.5
v13_D_2,0,3,24,0.7913691997528076,0.20863080024719238
v9,1,4,36,0.5,0.5
v13_D_1,0,5,5,0.9845235124230385,0.015476487576961517
v8,1,6,22,0.5,0.5
v13_D_0,0,9,5,0.987060546875,0.012939453125
v7,1,9,21,0.5,0.5
v3bar,0,0,11,0.5,0.5
v6bar,0,0,8,0.5,0.5
v5bar,0,0,25,0.5,0.5
B35B,1,0,17,0.25,0.75
B35Bbar,0,1,17,0.75,0.25
B14B,9,1,25,0.25,0.75
B14Bbar,1,9,25,0.75,0.25
B34B,6,0,23,0.25,0.75
B34Bbar,0,6,23,0.75,0.25
v4bar,0,0,29,0.5,0.5
v11bar,6,1,27,0.5,0.5
v8bar,6,1,24,0.5,0.5
v7bar,9,1,24,0.5,0.5
v12bar,9,1,27,0.5,0.5
v0bar,0,0,16,0.5,0.5
v10bar,4,1,15,0.5,0.5
v9bar,4,1,15,0.5,0.5
v1bar,0,0,23,0.5,0.5
Lv13_D_12,0,9,0,0.99609375,0.00390625
I198,9,0,0,0.00390625,0.99609375
v13_D_12,0,9,0,0.99609375,0.00390625
Lv13_D_11,1,3,0,0.8022246658802032,0.19777533411979675
I201,3,1,0,0.19777533411979675,0.8022246658802032
v13_D_11,1,3,0,0.8022246658802032,0.19777533411979675
Lv13_D_10,0,8,0,0.990234375,0.009765625
I204,8,0,0,0.009765625,0.990234375
v13_D_10,0,8,0,0.990234375,0.009765625
Lv13_D_9,0,8,0,0.990478515625,0.009521484375
I207,8,0,0,0.009521484375,0.990478515625
v13_D_9,0,8,0,0.990478515625,0.009521484375
Lv13_D_8,0,8,0,0.99609375,0.00390625
I210,8,0,0,0.00390625,0.99609375
v13_D_8,0,8,0,0.99609375,0.00390625
Lv13_D_7,0,8,0,0.994384765625,0.005615234375
I213,8,0,0,0.005615234375,0.994384765625
v13_D_7,0,8,0,0.994384765625,0.005615234375
Lv13_D_6,0,4,0,0.9878768920898438,0.01212310791015625
I216,4,0,0,0.01212310791015625,0.9878768920898438
v13_D_6,0,4,0,0.9878768920898438,0.01212310791015625
Lv13_D_5,0,8,15,0.9916305541992188,0.00836944580078125
I219,8,0,15,0.00836944580078125,0.9916305541992188
Lv13_D_4,0,5,18,0.9792747497558594,0.020725250244140625
I222,5,0,18,0.020725250244140625,0.9792747497558594
Lv13_D_3,0,3,13,0.7919740676879883,0.20802593231201172
I225,3,0,13,0.20802593231201172,0.7919740676879883
Lv13_D_2,0,3,24,0.7913691997528076,0.20863080024719238
I228,3,0,24,0.20863080024719238,0.7913691997528076
Lv13_D_1,0,5,5,0.9845235124230385,0.015476487576961517
I231,5,0,5,0.015476487576961517,0.9845235124230385
Lv13_D_0,0,9,5,0.987060546875,0.012939453125
I234,9,0,5,0.012939453125,0.987060546875
I64,0,2,9,0.9375,0.0625
I65,1,9,2,0.9375,0.0625
I114,4,2,7,0.75,0.25
I113,5,2,6,0.75,0.25
I111,5,2,12,0.75,0.25
I109,0,1,10,0.875,0.125
I108,1,10,9,0.75,0.25
I106,0,10,22,0.9375,0.0625
I105,0,2,22,0.875,0.125
I103,1,9,9,0.875,0.125
I102,1,9,9,0.875,0.125
I100,0,1,12,0.75,0.25
II98,0,0,12,0.75,0.25
I96,0,1,16,0.75,0.25
I89,0,2,23,0.875,0.125
I94,0,6,18,0.96875,0.03125
I93,4,2,14,0.75,0.25
I91,0,2,34,0.875,0.125
I90,4,2,30,0.75,0.25
I97,0,2,6,0.9375,0.0625
I98,1,6,2,0.9375,0.0625
I87,0,6,34,0.9375,0.0625
I104,0,6,22,0.875,0.125
I85,0,7,20,0.96875,0.03125
I84,1,10,19,0.875,0.125
I79,5,2,19,0.75,0.25
I77,0,5,4,0.875,0.125
I76,0,6,4,0.96875,0.03125
I74,1,11,3,0.875,0.125
I73,0,6,4,0.9375,0.0625
I71,0,6,22,0.9375,0.0625
I69,1,7,16,0.75,0.25
B40B,4,0,8,0.375,0.625
I124,0,2,6,0.921875,0.078125
I66,0,9,5,0.75,0.25
II65,1,0,4,0.4375,0.5625
I63,4,3,27,0.875,0.125
B23B,4,2,30,0.65625,0.34375
I62,3,4,28,0.9140625,0.0859375
B42B,8,1,3,0.375,0.625
I60,0,1,3,0.6875,0.3125
B43B,1,1,9,0.65625,0.34375
I59,1,7,2,0.9140625,0.0859375
B32B,1,7,19,0.84765625,0.15234375
I57,1,8,18,0.923828125,0.076171875
I56,1,11,18,0.9375,0.0625
I54,0,2,14,0.875,0.125
B27B,4,2,14,0.7265625,0.2734375
I53,0,2,14,0.86328125,0.13671875
I51,4,3,28,0.875,0.125
B21B,4,1,30,0.46875,0.53125
I50,4,3,28,0.8671875,0.1328125
I48,1,7,8,0.625,0.375
I47,0,6,9,0.9375,0.0625
B38B,1,6,3,0.8203125,0.1796875
I148,0,6,3,0.955078125,0.044921875
B29B,0,2,22,0.8203125,0.1796875
I44,0,3,21,0.91015625,0.08984375
B30B,1,5,21,0.46875,0.53125
I43,1,6,20,0.734375,0.265625
B17B,1,1,11,0.375,0.625
I41,0,2,10,0.84375,0.15625
B16B,1,1,16,0.5625,0.4375
I40,0,6,10,0.890625,0.109375
I39,0,11,10,0.9375,0.0625
B39B,0,5,4,0.84765625,0.15234375
I158,0,7,2,0.9619140625,0.0380859375
B25B,7,1,15,0.375,0.625
B26B,0,0,16,0.375,0.625
I36,0,3,13,0.90234375,0.09765625
B28B,0,2,14,0.75537109375,0.24462890625
I35,0,3,13,0.877685546875,0.122314453125
B15B,1,6,8,0.5859375,0.4140625
I164,0,6,8,0.896484375,0.103515625
B33B,2,6,17,0.8660888671875,0.1339111328125
I167,0,6,17,0.966522216796875,0.033477783203125
B36B,1,0,4,0.328125,0.671875
I31,1,2,2,0.83203125,0.16796875
I171,0,2,18,0.875,0.125
I30,0,11,3,0.96875,0.03125
I175,0,2,8,0.875,0.125
I28,0,7,2,0.984375,0.015625
B44B,1,1,2,0.62841796875,0.37158203125
I27,1,2,1,0.814208984375,0.185791015625
B22B,7,3,24,0.7587890625,0.2412109375
I25,0,3,24,0.87939453125,0.12060546875
B24B,6,3,24,0.7998046875,0.2001953125
I24,0,3,24,0.89990234375,0.10009765625
B18B,2,9,8,0.765625,0.234375
I22,2,8,7,0.8828125,0.1171875
B19B,0,2,10,0.704498291015625,0.295501708984375
I21,0,3,9,0.8522491455078125,0.1477508544921875
B31B,1,3,20,0.66839599609375,0.33160400390625
I186,0,3,20,0.9170989990234375,0.0829010009765625
B41B,8,2,2,0.5625,0.4375
I18,0,3,1,0.890625,0.109375
B45B,1,2,1,0.8014869689941406,0.19851303100585938
I17,1,3,0,0.9007434844970703,0.09925651550292969
B37B,1,2,2,0.8060302734375,0.1939697265625
I192,0,2,2,0.951507568359375,0.048492431640625
B20B,2,3,7,0.7523761987686157,0.24762380123138428
I195,0,3,7,0.9380940496921539,0.06190595030784607
