Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
U3352,151,76,8616,0.533203125,0.466796875
IR_REG_0_,152,77,11574,0.5,0.5
U3351,143,76,9164,0.548583984375,0.451416015625
IR_REG_1_,144,77,11575,0.5,0.5
U3350,137,77,14136,0.52166748046875,0.47833251953125
IR_REG_2_,138,78,26498,0.5,0.5
U3349,137,77,25326,0.5264739990234375,0.4735260009765625
IR_REG_3_,138,78,21103,0.5,0.5
U3348,142,79,8479,0.5295982360839844,0.4704017639160156
IR_REG_4_,143,80,21079,0.5,0.5
U3347,141,77,13262,0.5313405990600586,0.4686594009399414
IR_REG_5_,142,78,20541,0.5,0.5
U3346,135,77,15207,0.5322568416595459,0.4677431583404541
IR_REG_6_,136,78,21813,0.5,0.5
U3345,131,77,19863,0.5327262282371521,0.4672737717628479
IR_REG_7_,132,78,21817,0.5,0.5
U3344,132,79,19200,0.5329637378454208,0.46703626215457916
IR_REG_8_,133,80,8313,0.5,0.5
U3343,143,80,26382,0.5330831967294216,0.4669168032705784
IR_REG_9_,144,81,8095,0.5,0.5
U3342,137,83,17453,0.5331431021913886,0.4668568978086114
IR_REG_10_,138,84,8676,0.5,0.5
U3341,139,82,19901,0.5331730989273638,0.46682690107263625
IR_REG_11_,140,83,18775,0.5,0.5
U3340,145,85,15266,0.5331881082965992,0.46681189170340076
IR_REG_12_,146,86,15859,0.5,0.5
U3339,145,80,13316,0.533195615731529,0.46680438426847104
IR_REG_13_,146,81,14533,0.5,0.5
U3338,121,68,104406,0.5331993701365718,0.4668006298634282
IR_REG_14_,122,69,11592,0.5,0.5
U3337,129,69,21794,0.5332012475109877,0.46679875248901226
IR_REG_15_,130,70,9920,0.5,0.5
U3336,147,83,46340,0.5332021862411693,0.46679781375883067
IR_REG_16_,148,84,11597,0.5,0.5
U3335,140,76,20017,0.5332026556170035,0.46679734438299647
IR_REG_17_,141,77,10127,0.5,0.5
U3334,146,79,52021,0.5332028903076065,0.4667971096923935
IR_REG_18_,147,80,20553,0.5,0.5
U3333,132,68,36105,0.5332030076535794,0.4667969923464206
IR_REG_19_,133,69,59340,0.5,0.5
U3332,136,74,48656,0.5332030663267338,0.46679693367326625
IR_REG_20_,137,75,51379,0.5,0.5
U3331,141,77,47673,0.5332030956633529,0.4667969043366471
IR_REG_21_,142,78,51374,0.5,0.5
U3330,145,77,44856,0.533203110331673,0.466796889668327
IR_REG_22_,146,78,51919,0.5,0.5
U3329,155,87,45339,0.5332031176658356,0.4667968823341644
IR_REG_23_,156,88,51889,0.5,0.5
U3328,148,80,32329,0.5332031213329176,0.4667968786670824
IR_REG_24_,149,81,70051,0.5,0.5
U3327,131,77,41900,0.5332031231664588,0.4667968768335412
IR_REG_25_,132,78,70068,0.5,0.5
U3326,141,79,40562,0.5332031240832293,0.46679687591677066
IR_REG_26_,142,80,15015,0.5,0.5
U3325,149,81,29371,0.5332031245416147,0.46679687545838533
IR_REG_27_,150,82,21287,0.5,0.5
U3324,145,75,57102,0.5332031247708073,0.46679687522919266
IR_REG_28_,146,76,81314,0.5,0.5
U3323,149,77,70772,0.5332031248854037,0.46679687511459633
IR_REG_29_,150,78,81310,0.5,0.5
U3322,142,79,78055,0.5332031249427018,0.46679687505729817
IR_REG_30_,143,80,80187,0.5,0.5
U3321,148,76,5012,0.5332031250286491,0.4667968749713509
IR_REG_31_,149,77,21286,0.5,0.5
U3458,533,680,47831,0.5283667195908598,0.4716332804091402
D_REG_0_,534,681,47955,0.5,0.5
U3459,518,645,35682,0.5283667198084387,0.47163328019156125
D_REG_1_,519,646,35806,0.5,0.5
U3320,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_2_,96,1762,28505,0.5,0.5
U3319,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_3_,96,1762,28505,0.5,0.5
U3318,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_4_,96,1762,28505,0.5,0.5
U3317,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_5_,96,1762,28505,0.5,0.5
U3316,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_6_,96,1762,28505,0.5,0.5
U3315,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_7_,96,1762,28505,0.5,0.5
U3314,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_8_,96,1762,28505,0.5,0.5
U3313,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_9_,96,1762,28505,0.5,0.5
U3312,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_10_,96,1762,28505,0.5,0.5
U3311,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_11_,96,1762,28505,0.5,0.5
U3310,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_12_,96,1762,28505,0.5,0.5
U3309,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_13_,96,1762,28505,0.5,0.5
U3308,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_14_,96,1762,28505,0.5,0.5
U3307,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_15_,96,1762,28505,0.5,0.5
U3306,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_16_,96,1762,28505,0.5,0.5
U3305,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_17_,96,1762,28505,0.5,0.5
U3304,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_18_,96,1762,28505,0.5,0.5
U3303,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_19_,96,1762,28505,0.5,0.5
U3302,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_20_,96,1762,28505,0.5,0.5
U3301,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_21_,96,1762,28505,0.5,0.5
U3300,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_22_,96,1762,28505,0.5,0.5
U3299,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_23_,96,1762,28505,0.5,0.5
U3298,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_24_,96,1762,28505,0.5,0.5
U3297,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_25_,96,1762,28505,0.5,0.5
U3296,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_26_,96,1762,28505,0.5,0.5
U3295,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_27_,96,1762,28505,0.5,0.5
U3294,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_28_,96,1762,28505,0.5,0.5
U3293,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_29_,96,1762,28505,0.5,0.5
U3292,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_30_,96,1762,28505,0.5,0.5
U3291,95,1761,28443,0.5878570242043041,0.4121429757956959
D_REG_31_,96,1762,28505,0.5,0.5
U3467,1787,1791,29669,0.5000678705017786,0.4999321294982214
REG0_REG_0_,1788,1792,29759,0.5,0.5
U3469,2114,2131,20609,0.5000640941594227,0.49993590584057734
REG0_REG_1_,2115,2132,20699,0.5,0.5
U3471,2126,2144,18575,0.5000620480625093,0.4999379519374907
REG0_REG_2_,2127,2145,18665,0.5,0.5
U3473,2151,2167,59948,0.5000653186406949,0.4999346813593051
REG0_REG_3_,2152,2168,60038,0.5,0.5
U3475,2230,2248,16910,0.5000648341392678,0.49993516586073217
REG0_REG_4_,2231,2249,17000,0.5,0.5
U3477,2289,2303,25494,0.5000610944448914,0.49993890555510856
REG0_REG_5_,2290,2304,25584,0.5,0.5
U3479,2695,2718,29218,0.5000652891657544,0.49993471083424557
REG0_REG_6_,2696,2719,29308,0.5,0.5
U3481,2166,2182,37089,0.5000609046066246,0.49993909539337544
REG0_REG_7_,2167,2183,37179,0.5,0.5
U3483,2200,2216,27557,0.500065207987651,0.499934792012349
REG0_REG_8_,2201,2217,27647,0.5,0.5
U3485,2253,2267,27788,0.5000648276198125,0.4999351723801875
REG0_REG_9_,2254,2268,27878,0.5,0.5
U3487,2252,2267,53480,0.5000609802662674,0.49993901973373256
REG0_REG_10_,2253,2268,53570,0.5,0.5
U3489,2654,2678,73534,0.5000652294755015,0.49993477052449853
REG0_REG_11_,2655,2679,73624,0.5,0.5
U3491,2243,2253,27067,0.5000646270406085,0.4999353729593915
REG0_REG_12_,2244,2254,27157,0.5,0.5
U3493,2209,2220,24293,0.5000608112428596,0.4999391887571404
REG0_REG_13_,2210,2221,24383,0.5,0.5
U3495,2700,2718,47943,0.5000638552066249,0.4999361447933751
REG0_REG_14_,2701,2719,48033,0.5,0.5
U3497,2673,2692,20433,0.5000639144341549,0.4999360855658451
REG0_REG_15_,2674,2693,20523,0.5,0.5
U3499,2709,2732,213491,0.5000651734900957,0.4999348265099043
REG0_REG_16_,2710,2733,213581,0.5,0.5
U3501,2540,2560,27722,0.5000608801819133,0.4999391198180867
REG0_REG_17_,2541,2561,27812,0.5,0.5
U3503,2667,2691,19018,0.500064695104192,0.49993530489580795
REG0_REG_18_,2668,2692,19108,0.5,0.5
U3505,2713,2733,16366,0.5000647123226785,0.49993528767732154
REG0_REG_19_,2714,2734,16456,0.5,0.5
U3506,2539,2562,150687,0.5000606660531302,0.49993933394686985
REG0_REG_20_,2540,2563,150777,0.5,0.5
U3507,2523,2545,145520,0.5000609994152867,0.4999390005847133
REG0_REG_21_,2524,2546,145610,0.5,0.5
U3508,2538,2560,16249,0.5000640557669387,0.4999359442330613
REG0_REG_22_,2539,2561,16339,0.5,0.5
U3509,2471,2497,128536,0.5000632769394449,0.49993672306055514
REG0_REG_23_,2472,2498,128626,0.5,0.5
U3510,2762,2786,206864,0.5000646647365039,0.4999353352634961
REG0_REG_24_,2763,2787,206954,0.5,0.5
U3511,3015,3041,78825,0.5000647075699131,0.49993529243008694
REG0_REG_25_,3016,3042,78915,0.5,0.5
U3512,3093,3144,114344,0.5000615704649167,0.4999384295350833
REG0_REG_26_,3094,3145,114434,0.5,0.5
U3513,2914,2941,39469,0.5000653142810122,0.4999346857189878
REG0_REG_27_,2915,2942,39559,0.5,0.5
U3514,3093,3253,39723,0.5000646374090209,0.49993536259097915
REG0_REG_28_,3094,3254,39813,0.5,0.5
U3515,3093,3395,21163,0.5000635532668554,0.49993644673314463
REG0_REG_29_,3094,3396,21253,0.5,0.5
U3516,2842,2876,30367,0.5000938336271038,0.4999061663728962
