Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
190,2,2,325,0.5,0.5
194,2,2,329,0.5,0.5
197,2,2,329,0.5,0.5
201,2,2,296,0.5,0.5
206,2,2,307,0.5,0.5
209,2,2,311,0.5,0.5
212,2,2,311,0.5,0.5
216,2,2,290,0.5,0.5
220,2,2,317,0.5,0.5
225,2,2,321,0.5,0.5
229,2,2,322,0.5,0.5
232,2,2,326,0.5,0.5
235,2,2,326,0.5,0.5
239,2,2,294,0.5,0.5
243,2,2,325,0.5,0.5
247,2,2,325,0.5,0.5
251,3,2,38,0.25,0.75
252,3,2,38,0.25,0.75
253,2,2,309,0.5,0.5
256,2,2,237,0.5,0.5
257,1,1,282,0.5,0.5
260,1,1,236,0.5,0.5
263,2,2,231,0.5,0.5
266,2,2,231,0.5,0.5
269,2,2,232,0.5,0.5
272,2,2,231,0.5,0.5
275,2,2,118,0.5,0.5
276,2,2,116,0.5,0.5
277,2,2,233,0.5,0.5
280,2,2,231,0.5,0.5
283,1,1,138,0.5,0.5
290,2,2,263,0.5,0.5
297,1,1,232,0.5,0.5
300,2,2,237,0.5,0.5
303,1,1,231,0.5,0.5
306,2,2,44,0.5,0.5
313,2,2,13,0.5,0.5
316,1,1,39,0.5,0.5
319,2,2,307,0.5,0.5
326,1,1,232,0.5,0.5
331,1,1,45,0.5,0.5
338,2,2,230,0.5,0.5
343,1,1,77,0.5,0.5
346,1,1,77,0.5,0.5
349,1,1,77,0.5,0.5
352,1,1,77,0.5,0.5
355,1,1,77,0.5,0.5
358,1,1,77,0.5,0.5
361,1,1,77,0.5,0.5
364,1,1,77,0.5,0.5
367,1,1,77,0.5,0.5
370,1,1,75,0.5,0.5
373,1,1,76,0.5,0.5
376,1,1,76,0.5,0.5
379,1,1,76,0.5,0.5
382,1,1,76,0.5,0.5
385,1,1,75,0.5,0.5
388,1,1,75,0.5,0.5
534,2,2,76,0.5,0.5
535,2,2,76,0.5,0.5
536,2,2,76,0.5,0.5
537,2,2,76,0.5,0.5
538,2,2,76,0.5,0.5
539,2,2,76,0.5,0.5
540,2,2,76,0.5,0.5
541,2,2,76,0.5,0.5
542,2,2,76,0.5,0.5
543,2,2,74,0.5,0.5
544,2,2,75,0.5,0.5
545,2,2,75,0.5,0.5
546,2,2,75,0.5,0.5
547,2,2,75,0.5,0.5
548,2,2,74,0.5,0.5
549,2,2,74,0.5,0.5
550,4,2,44,0.25,0.75
551,4,2,46,0.25,0.75
552,4,2,42,0.25,0.75
553,4,2,40,0.25,0.75
554,4,2,33,0.25,0.75
555,4,2,40,0.25,0.75
556,2,2,325,0.5,0.5
559,2,2,329,0.5,0.5
562,2,2,307,0.5,0.5
565,2,2,311,0.5,0.5
568,2,2,321,0.5,0.5
