Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
I2,5,4,63,0.5639591217041016,0.43604087829589844
st_5,6,5,117,0.5,0.5
I3,14,7,72,0.6200659275054932,0.37993407249450684
st_4,12,7,62,0.5,0.5
I4,4,3,49,0.5197515487670898,0.48024845123291016
st_3,5,4,118,0.5,0.5
I5,6,3,47,0.39963712784981453,0.6003628721501855
st_2,7,4,66,0.5,0.5
I6,13,5,34,0.45913218756609964,0.5408678124339004
st_1,14,6,62,0.5,0.5
I7,3,11,42,0.7211349835076825,0.27886501649231754
st_0,4,12,69,0.5,0.5
I68,0,0,64,0.5,0.5
I67,0,0,75,0.5,0.5
I78,0,0,70,0.5,0.5
I73,0,0,73,0.5,0.5
I61,12,4,64,0.5,0.5
I60,6,14,89,0.5,0.5
I59,4,7,68,0.5,0.5
I58,4,5,72,0.5,0.5
I57,7,12,74,0.5,0.5
I56,5,6,69,0.5,0.5
I69,0,0,61,0.5,0.5
I70,0,0,91,0.5,0.5
I555,6,15,64,0.75,0.25
I554,15,6,64,0.25,0.75
I590,10,7,110,0.25,0.75
I591,7,10,110,0.75,0.25
I595,2,10,65,0.75,0.25
I594,10,2,65,0.25,0.75
I547,1,8,76,0.75,0.25
I546,8,1,76,0.25,0.75
I666,8,5,68,0.25,0.75
I667,5,8,68,0.75,0.25
I474,10,3,60,0.25,0.75
I475,3,10,60,0.75,0.25
I799,3,10,6,0.875,0.125
I798,10,3,6,0.125,0.875
I494,11,1,92,0.125,0.875
I495,1,11,92,0.875,0.125
I466,15,2,52,0.0625,0.9375
I467,2,15,52,0.9375,0.0625
I463,2,18,55,0.9375,0.0625
I462,18,2,55,0.0625,0.9375
I131,4,0,68,0.4375,0.5625
I130,0,4,68,0.5625,0.4375
I566,7,1,54,0.125,0.875
I567,1,7,54,0.875,0.125
I482,10,3,53,0.125,0.875
I483,3,10,53,0.875,0.125
I531,3,13,59,0.875,0.125
I530,13,3,59,0.125,0.875
I487,1,14,7,0.96875,0.03125
I486,14,1,7,0.03125,0.96875
I606,21,7,19,0.28125,0.71875
I607,7,21,19,0.71875,0.28125
I779,2,19,43,0.97265625,0.02734375
I778,19,2,43,0.02734375,0.97265625
I346,18,0,47,0.046875,0.953125
I347,0,18,47,0.953125,0.046875
I205,12,3,73,0.1796875,0.8203125
I204,3,12,73,0.8203125,0.1796875
I217,12,0,49,0.10693359375,0.89306640625
I216,0,12,49,0.89306640625,0.10693359375
I936_2,0,4,68,0.75,0.25
I946_1,0,5,62,0.75,0.25
I946_2,0,7,62,0.75,0.25
I936_1,0,7,68,0.75,0.25
I1089_1,4,19,17,0.875,0.125
I1044_1,0,0,91,0.75,0.25
I578,10,5,75,0.25,0.75
I943_1,5,9,71,0.625,0.375
I675,4,16,16,0.75,0.25
I1102_2,4,19,10,0.875,0.125
I671,5,14,87,0.875,0.125
I1059_1,5,19,82,0.9375,0.0625
I551,4,12,16,0.75,0.25
I1071_1,1,16,2,0.96875,0.03125
I1106_1,3,11,11,0.875,0.125
I663,4,12,58,0.75,0.25
I1123_1,1,5,46,0.9375,0.0625
I498,23,4,97,0.0625,0.9375
I967_1,3,6,85,0.53125,0.46875
I570,11,5,84,0.375,0.625
I1055_1,1,6,68,0.84375,0.15625
I535,7,14,62,0.875,0.125
I598,6,0,76,0.25,0.75
I1062_1,6,14,62,0.90625,0.09375
I795,1,14,47,0.9375,0.0625
I618,0,0,61,0.25,0.75
I1120_1,0,14,47,0.953125,0.046875
I95,10,11,82,0.4375,0.5625
I603,4,17,76,0.75,0.25
I1116_1,4,21,65,0.859375,0.140625
I950_2,0,18,52,0.96875,0.03125
I455,2,18,52,0.9375,0.0625
I950_1,0,18,52,0.96875,0.03125
I1102_1,1,16,13,0.96875,0.03125
I587,4,15,54,0.75,0.25
I104,11,5,64,0.375,0.625
I954_2,0,18,49,0.921875,0.078125
I543,3,15,55,0.9375,0.0625
I490,0,0,70,0.25,0.75
I1081_1,0,20,50,0.9765625,0.0234375
I1106_2,1,11,13,0.96875,0.03125
I940_1,1,19,78,0.9375,0.0625
I539,1,12,11,0.875,0.125
I1077_1,1,17,6,0.921875,0.078125
I694,19,1,47,0.03125,0.96875
I698,19,2,46,0.0625,0.9375
I988_1,19,3,45,0.091796875,0.908203125
I787,2,23,49,0.96875,0.03125
I1085_1,0,19,45,0.986328125,0.013671875
I954_1,0,12,49,0.96875,0.03125
I1081_2,1,13,49,0.9375,0.0625
I230,5,7,68,0.703125,0.296875
I1116_2,5,11,64,0.8515625,0.1484375
I232,0,15,55,0.9238128662109375,0.0761871337890625
I1065_1,0,25,45,0.9809532165527344,0.019046783447265625
I234,1,5,51,0.772421658039093,0.22757834196090698
I1113_1,1,12,44,0.8862108290195465,0.11378917098045349
I1055_2,1,8,68,0.91015625,0.08984375
I1085_2,0,15,45,0.946533203125,0.053466796875
I1038_1,4,0,58,0.25,0.75
I985_1,0,0,65,0.25,0.75
I914_1,18,4,17,0.25,0.75
I1068_1,19,6,21,0.125,0.875
I933_1,7,5,70,0.25,0.75
I958_1,7,5,68,0.25,0.75
I642,15,4,73,0.125,0.875
I958_2,15,0,73,0.0625,0.9375
I924_2,12,1,11,0.0625,0.9375
I478,12,1,90,0.0625,0.9375
I903_2,16,1,86,0.03125,0.96875
I1092_1,12,1,68,0.03125,0.96875
I458,10,5,18,0.25,0.75
I917_1,9,1,1,0.015625,0.984375
I921_1,15,1,2,0.046875,0.953125
I627,0,0,62,0.75,0.25
I909_1,15,0,47,0.046875,0.953125
I962_2,15,0,55,0.03125,0.96875
I506,17,4,47,0.0625,0.9375
I1095_1,17,0,47,0.03125,0.96875
I209,5,0,62,0.4375,0.5625
I1099_1,19,0,45,0.02734375,0.97265625
I917_2,17,1,1,0.03125,0.96875
I559,4,14,50,0.875,0.125
I982_1,5,14,49,0.84765625,0.15234375
I1074_1,11,1,13,0.1875,0.8125
I1095_2,11,5,42,0.1875,0.8125
I970_1,5,11,68,0.65625,0.34375
I207,5,4,69,0.53125,0.46875
I900_1,10,4,64,0.265625,0.734375
I742,10,4,105,0.25,0.75
I903_1,22,3,84,0.0703125,0.9296875
