Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
I12,5,5,47,0.5146484375,0.4853515625
X.4,5,5,47,0.5,0.5
I13,5,5,92,0.52734375,0.47265625
X.3,5,5,62,0.5,0.5
I14,5,2,104,0.453125,0.546875
X.2,5,3,59,0.5,0.5
I15,0,1,105,0.5625,0.4375
X.1,1,2,60,0.5,0.5
I110,5,5,62,0.5009727478027344,0.4990272521972656
X.8,5,5,62,0.5,0.5
I111,4,4,111,0.5019378662109375,0.4980621337890625
X.7,5,5,82,0.5,0.5
I112,5,5,32,0.49615478515625,0.50384521484375
X.6,5,5,92,0.5,0.5
I113,4,4,57,0.507568359375,0.492431640625
X.5,5,5,92,0.5,0.5
I208,5,5,118,0.5000610202550888,0.4999389797449112
X.12,5,5,118,0.5,0.5
I209,4,4,106,0.5001220107078552,0.4998779892921448
X.11,5,5,139,0.5,0.5
I210,5,5,35,0.4997560977935791,0.5002439022064209
X.10,5,5,148,0.5,0.5
I211,4,4,60,0.5004873275756836,0.4995126724243164
X.9,5,5,148,0.5,0.5
I306,5,5,83,0.500003814639058,0.49999618536094204
X.16,5,5,83,0.5,0.5
I307,4,4,107,0.5000076291617006,0.4999923708382994
X.15,5,5,110,0.5,0.5
I308,5,5,40,0.4999847421422601,0.5000152578577399
X.14,5,5,118,0.5,0.5
I309,4,4,70,0.5000305138528347,0.4999694861471653
X.13,5,5,118,0.5,0.5
I404,5,5,106,0.5000002384183517,0.49999976158164827
X.20,5,5,106,0.5,0.5
I405,4,4,112,0.5000004768362487,0.4999995231637513
X.19,5,5,138,0.5,0.5
I406,5,5,49,0.4999990463293216,0.5000009536706784
X.18,5,5,146,0.5,0.5
I407,4,4,84,0.5000019073340809,0.4999980926659191
X.17,5,5,146,0.5,0.5
I502,5,5,138,0.5000000149011603,0.4999999850988397
X.24,5,5,138,0.5,0.5
I503,4,4,117,0.5000000298023188,0.49999997019768117
X.23,5,5,176,0.5,0.5
I504,5,5,67,0.49999994039536944,0.5000000596046306
X.22,5,5,179,0.5,0.5
I505,4,4,98,0.5000001192092327,0.4999998807907673
X.21,5,5,179,0.5,0.5
I600,5,5,170,0.5000000009313226,0.4999999990686774
X.28,5,5,170,0.5,0.5
I601,4,4,116,0.5000000018626451,0.49999999813735485
X.27,5,5,173,0.5,0.5
I602,5,5,162,0.4999999962747097,0.5000000037252903
X.26,5,5,176,0.5,0.5
I603,4,4,161,0.5000000074505804,0.4999999925494196
X.25,5,5,176,0.5,0.5
I698,5,5,72,0.5000000000582077,0.49999999994179234
X.32,5,5,72,0.5,0.5
I699,5,5,167,0.5000000001164153,0.4999999998835847
X.31,5,5,167,0.5,0.5
I700,5,5,113,0.49999999976716936,0.5000000002328306
X.30,5,5,121,0.5,0.5
I701,4,4,121,0.5000000004656613,0.4999999995343387
X.29,5,5,161,0.5,0.5
I69,0,5,97,0.875,0.125
I73.1,5,0,97,0.125,0.875
I73.2,5,5,102,0.5,0.5
I66,2,0,109,0.25,0.75
I7.1,0,2,109,0.75,0.25
I7.2,3,5,104,0.5,0.5
I88.1,2,1,105,0.5,0.5
I88.2,0,0,107,0.5,0.5
I48,0,0,67,0.5,0.5
I49,5,5,46,0.5,0.5
I50,5,5,57,0.5,0.5
I68,5,0,62,0.125,0.875
I167,0,13,116,0.9921875,0.0078125
I171.1,13,0,116,0.0078125,0.9921875
I171.2,5,5,128,0.5,0.5
I164,15,0,42,0.015625,0.984375
I105.1,0,15,42,0.984375,0.015625
I105.2,5,5,32,0.5,0.5
I186.1,5,5,72,0.5,0.5
I1.2,0,11,62,0.96875,0.03125
I186.2,11,0,62,0.03125,0.96875
I146,11,0,82,0.03125,0.96875
I147,5,5,60,0.5,0.5
I148,5,5,83,0.5,0.5
I166,13,0,77,0.0078125,0.9921875
I265,0,14,111,0.99951171875,0.00048828125
I269.1,14,0,111,0.00048828125,0.99951171875
I269.2,5,5,124,0.5,0.5
I262,14,0,45,0.0009765625,0.9990234375
I203.1,0,14,45,0.9990234375,0.0009765625
I203.2,5,5,35,0.5,0.5
I284.1,5,5,75,0.5,0.5
I1.3,0,11,65,0.998046875,0.001953125
I284.2,11,0,65,0.001953125,0.998046875
I244,11,0,139,0.001953125,0.998046875
I245,5,5,116,0.5,0.5
I246,5,5,140,0.5,0.5
I264,14,0,133,0.00048828125,0.99951171875
I363,0,19,112,0.999969482421875,3.0517578125e-05
I367.1,19,0,112,3.0517578125e-05,0.999969482421875
I367.2,5,5,130,0.5,0.5
I360,19,0,50,6.103515625e-05,0.99993896484375
I301.1,0,19,50,0.99993896484375,6.103515625e-05
I301.2,5,5,40,0.5,0.5
I382.1,5,5,90,0.5,0.5
I1.4,0,16,75,0.9998779296875,0.0001220703125
I382.2,16,0,75,0.0001220703125,0.9998779296875
I342,16,0,105,0.0001220703125,0.9998779296875
I343,5,5,81,0.5,0.5
I344,5,5,111,0.5,0.5
I362,19,0,98,3.0517578125e-05,0.999969482421875
I461,0,24,117,0.9999980926513672,1.9073486328125e-06
I465.1,24,0,117,1.9073486328125e-06,0.9999980926513672
I465.2,5,5,140,0.5,0.5
I458,24,0,59,3.814697265625e-06,0.9999961853027344
I399.1,0,24,59,0.9999961853027344,3.814697265625e-06
I399.2,5,5,49,0.5,0.5
I480.1,5,5,109,0.5,0.5
I1.5,0,21,89,0.9999923706054688,7.62939453125e-06
I480.2,21,0,89,7.62939453125e-06,0.9999923706054688
I440,21,0,128,7.62939453125e-06,0.9999923706054688
I441,5,5,104,0.5,0.5
I442,5,5,139,0.5,0.5
I460,24,0,121,1.9073486328125e-06,0.9999980926513672
I559,0,29,122,0.9999998807907104,1.1920928955078125e-07
I563.1,29,0,122,1.1920928955078125e-07,0.9999998807907104
I563.2,5,5,150,0.5,0.5
I556,29,0,77,2.384185791015625e-07,0.9999997615814209
I497.1,0,29,77,0.9999997615814209,2.384185791015625e-07
I497.2,5,5,67,0.5,0.5
I578.1,5,5,128,0.5,0.5
I1.6,0,26,103,0.9999995231628418,4.76837158203125e-07
I578.2,26,0,103,4.76837158203125e-07,0.9999995231628418
I538,26,0,160,4.76837158203125e-07,0.9999995231628418
I539,5,5,137,0.5,0.5
I540,5,5,176,0.5,0.5
I558,29,0,153,1.1920928955078125e-07,0.9999998807907104
I657,0,34,121,0.9999999925494194,7.450580596923828e-09
I661.1,34,0,121,7.450580596923828e-09,0.9999999925494194
I661.2,5,5,154,0.5,0.5
I654,34,0,172,1.4901161193847656e-08,0.9999999850988388
