Wire,Controllability0,Controllability1,Observability,Prob0,Prob1
U4,1,3,1,0.5,0.5
U5,2,4,0,0.5,0.5
W140,0,2,1,0.5469279289245605,0.45307207107543945
W128,1,1,0,0.5,0.5
U3,1,1,0,0.7265360355377197,0.2734639644622803
W168,0,0,8,0.5,0.5
W171,2,2,6,0.5860066888519837,0.4139933111480163
W124,1,2,7,0.71875,0.28125
W5,2,1,6,0.5,0.5
W125,1,2,7,0.71875,0.28125
W1,0,6,2,0.9243170072259035,0.07568299277409651
W174,1,0,331,0.125,0.875
W175,2,0,331,0.125,0.875
W2,0,1,331,0.765625,0.234375
W176,0,0,333,0.75,0.25
W104,1,2,331,0.5,0.5
W3,4,1,331,0.5,0.5
W177,0,0,332,0.75,0.25
W178,2,3,332,0.6902807423592068,0.3097192576407932
W4,0,3,332,0.8451403711796034,0.1548596288203966
W179,8,1,333,0.1096181065950077,0.8903818934049923
W180,5,1,333,0.06933124877367136,0.9306687512263286
W181,3,0,334,0.16698215349235057,0.8330178465076494
W0,1,1,336,0.5,0.5
W182,0,2,335,0.6660356930152989,0.33396430698470114
W183,2,0,335,0.25,0.75
W184,4,0,335,0.11195240931293482,0.8880475906870652
W185,3,2,337,0.6680289302244633,0.3319710697755367
W170,0,0,339,0.5,0.5
W186,2,2,337,0.32552912283210844,0.6744708771678916
W105,2,2,337,0.4139933111480163,0.5860066888519837
W187,2,0,339,0.44449589224000796,0.555504107759992
W188,7,2,339,0.11100821551998408,0.8889917844800159
W169,0,0,341,0.5,0.5
W162,1,2,335,0.5,0.5
W189,4,2,336,0.5813750041597973,0.41862499584020274
W127,1,1,337,0.5011113444343209,0.4988886555656791
W190,13,2,338,0.00790380857471118,0.9920961914252888
W134,2,10,341,0.9822184890508652,0.017781510949134827
W122,1,2,345,0.826568603515625,0.173431396484375
W191,1,2,345,0.826568603515625,0.173431396484375
W192,1,2,345,0.826568603515625,0.173431396484375
W193,2,2,344,0.443362751044333,0.556637248955667
W194,2,2,344,0.443362751044333,0.556637248955667
W195,1,1,346,0.65313720703125,0.34686279296875
W67,5,1,346,0.5,0.5
W197,1,1,340,0.4988886555656791,0.5011113444343209
W198,2,6,335,0.5625,0.4375
W199,7,1,336,0.25,0.75
W200,6,1,336,0.25,0.75
W118,1,1,341,0.5,0.5
W50,5,1,337,0.5,0.5
W436,1,6,337,0.5,0.5
W201,10,1,4,0.03149667336326423,0.9685033266367358
W202,17,1,4,0.005187047965242719,0.9948129520347573
W203,21,1,4,0.003946773812228521,0.9960532261877715
W204,1,2,3,0.5167082343974383,0.4832917656025617
U1,1,5,0,0.5361959999674741,0.4638040000325259
W205,1,22,4,0.9665835312051234,0.033416468794876586
W206,18,1,8,0.06683293758975306,0.9331670624102469
W207,1,19,6,0.9921064523755431,0.007893547624456931
W131,1,2,23,0.5,0.5
W208,1,13,8,0.9792518081390289,0.0207481918609711
W164,1,3,18,0.5,0.5
W6,2,1,20,0.5,0.5
W158,1,4,10,0.5,0.5
W130,1,3,11,0.5,0.5
W209,2,3,11,0.8740133065469429,0.12598669345305713
W210,2,0,291,0.125,0.875
W211,2,0,291,0.125,0.875
W8,0,0,291,0.75,0.25
W7,0,0,291,0.19140625,0.80859375
W117,1,1,292,0.5,0.5
W133,1,1,292,0.5,0.5
W167,0,0,293,0.5,0.5
W212,0,1,292,0.75,0.25
W213,2,0,355,0.125,0.875
W214,2,0,355,0.125,0.875
W9,0,0,355,0.19140625,0.80859375
W215,2,1,224,0.25,0.75
W132,1,0,225,0.25,0.75
W10,1,0,224,0.140625,0.859375
W432,1,1,280,0.5,0.5
W216,3,0,264,0.125,0.875
W217,4,0,264,0.125,0.875
W11,0,3,264,0.765625,0.234375
W129,1,4,264,0.5,0.5
W218,2,0,291,0.125,0.875
W219,3,0,291,0.125,0.875
W12,0,2,291,0.765625,0.234375
W220,1,0,311,0.125,0.875
W221,2,0,311,0.125,0.875
W13,0,1,311,0.765625,0.234375
W222,0,0,370,0.31836599111557007,0.6816340088844299
W223,2,0,370,0.18163400888442993,0.8183659911155701
W14,0,0,370,0.5578260912587858,0.4421739087412142
W224,1,0,371,0.36326801776885986,0.6367319822311401
W102,1,1,371,0.5,0.5
W225,0,0,365,0.31836599111557007,0.6816340088844299
W226,2,0,365,0.18163400888442993,0.8183659911155701
W15,0,0,365,0.5578260912587858,0.4421739087412142
W103,1,1,366,0.5,0.5
W227,4,3,357,0.6949273339133377,0.3050726660866623
W228,1,1,360,0.5449020266532898,0.4550979733467102
W16,1,5,356,0.6213326873738548,0.37866731262614517
W229,1,4,359,0.5036807132975235,0.4963192867024765
W110,2,4,358,0.6056866146201956,0.3943133853798044
W230,2,12,361,0.992638573404953,0.007361426595047016
W231,10,2,363,0.017781510949134827,0.9822184890508652
W232,0,0,68,0.31836599111557007,0.6816340088844299
W233,2,0,68,0.18163400888442993,0.8183659911155701
W17,0,0,68,0.5578260912587858,0.4421739087412142
W444,1,1,69,0.5,0.5
W234,0,0,642,0.31836599111557007,0.6816340088844299
W235,2,0,642,0.18163400888442993,0.8183659911155701
W18,0,0,642,0.5578260912587858,0.4421739087412142
W445,1,1,643,0.5,0.5
W236,0,0,447,0.31836599111557007,0.6816340088844299
W237,2,0,447,0.18163400888442993,0.8183659911155701
W19,0,0,447,0.5578260912587858,0.4421739087412142
W446,1,1,448,0.5,0.5
W238,0,0,457,0.31836599111557007,0.6816340088844299
W239,2,0,457,0.18163400888442993,0.8183659911155701
W20,0,0,457,0.5578260912587858,0.4421739087412142
W447,1,1,458,0.5,0.5
W240,1,1,562,0.2734639644622803,0.7265360355377197
W241,2,0,563,0.45307207107543945,0.5469279289245605
W242,2,2,379,0.49399069226544223,0.5060093077345578
W21,1,3,378,0.730823470636699,0.26917652936330105
W472,4,1,380,0.5,0.5
W243,20,1,380,0.024644586586237804,0.9753554134137622
W244,2,5,405,0.4753554134137622,0.5246445865862378
W119,1,1,409,0.4550979733467102,0.5449020266532898
